"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"8436","10.50","+1.1","Error AGUILERA","24 MAY 1978","CAN","2","Moscow, ID (USA)","06 MAY 2001","1040","2001"
"8436","10.50","","Albert BOOKER","10 JAN 1982","USA","1","Austin, TX (USA)","12 MAY 2001","1040","2001"
"8436","10.50","","Eric BIXLER","","USA","3","Eugene, OR (USA)","12 MAY 2001","1040","2001"
"8436","10.50","+1.8","Moussa SISSOKO","27 OCT 1974","FRA","2h3","Palafrugell (ESP)","19 MAY 2001","1040","2001"
"8436","10.50","-0.8","Pap HOWARD","","USA","","Nassau (BAH)","09 JUN 2001","1044","2001"
"8436","10.50","+1.4","Tim TONDER","1974","GER","1","Leverkusen (GER)","10 JUN 2001","1040","2001"
"8436","10.50","+1.3","Ion GUTIERREZ","05 JUN 1977","ESP","2sf2","Valencia (ESP)","21 JUL 2001","1040","2001"
"8436","10.50","+0.4","Hannes VAN ROIYEN","18 MAY 1978","RSA","4","Pretoria (RSA)","19 JAN 2002","1040","2002"
"8436","10.50","+1.0","Montey WILDS","12 SEP 1979","USA","3h8","Charlotte, NC (USA)","15 MAR 2002","1040","2002"
"8436","10.50","+1.9","Everret ESSLINGER","","USA","4","New Orleans, LA (USA)","16 MAR 2002","1040","2002"
"8436","10.50","+0.8","Brian JOHNSON","","USA","1","Houston, TX (USA)","22 MAR 2002","1040","2002"
"8436","10.50","","Terrance ROLAND","","USA","3","Overland Park, KS (USA)","30 MAR 2002","1040","2002"
"8436","10.50","+1.5","Shay CLARK","","USA","2h1","Charlottesville, VA (USA)","20 APR 2002","1040","2002"
"8436","10.50","+1.7","Eddie MONTGOMERY","","USA","5","Durham, NC (USA)","10 MAY 2002","1040","2002"
"8436","10.50","+0.7","Miguel PATE","13 JUN 1979","USA","5h4","Atlanta, GA (USA)","18 MAY 2002","1040","2002"
"8436","10.50","","Darvin BOWEN","","GRN","3h2","St. George's (GRN)","19 MAY 2002","1040","2002"
"8436","10.50","+1.5","Imre LŐRINCZ","12 MAR 1982","HUN","3h1","Budapest (HUN)","12 JUL 2002","1040","2002"
"8436","10.50","+0.7","Ismael DAIF","31 OCT 1981","MAR","2h4","Radés (TUN)","06 AUG 2002","1040","2002"
"8436","10.50","+1.3","Pablo COLVILLE","28 SEP 1983","CHI","1","Santiago de Chile (CHI)","29 MAR 2003","1040","2003"
"8436","10.50","+1.8","John MOORE","","USA","2","Alamaosa (USA)","03 MAY 2003","1040","2003"
"8436","10.50","+1.1","Gabriel HELMS","","USA","4","Emporia, KS (USA)","09 MAY 2003","1040","2003"
"8436","10.50","+0.8","Roland MOORE","29 OCT 1981","USA","5","El Paso, TX (USA)","17 MAY 2003","1040","2003"
"8436","10.50","","Michael HILBE","07 JUL 1985","USA","1h","Glendale, AZ (USA)","01 JUN 2003","1040","2003"
"8436","10.50","+0.2","Michael TIETZ","14 SEP 1977","GBR","1h2","Fribourg (SUI)","23 AUG 2003","1040","2003"
"8436","10.50","","Archie JOHN","","USA","3","Hattiesburg, MS (USA)","06 MAR 2004","1040","2004"
"8436","10.50","","Chaime BREAUX","23 DEC 1984","USA","4","Overland Park, KS (USA)","27 MAR 2004","1040","2004"
"8436","10.50","+1.9","LaChristopher LEWIS","28 OCT 1982","USA","4","Starkville, MS (USA)","27 MAR 2004","1040","2004"
"8436","10.50","+1.0","Tomonobu OMI","19 MAR 1983","JPN","1","Marugame (JPN)","01 MAY 2004","1040","2004"
"8436","10.50","+1.9","Patrice MILIA","04 MAY 1984","FRA","2","Trinité (FRA)","19 JUN 2004","1040","2004"
"8436","10.50","+2.0","Daniel BARBARIE","1982","CAN","2h3","Ottawa (CAN)","19 JUN 2004","1040","2004"
"8436","10.50","","Kevin DURANT","","USA","1","Ronkonkoma, NY (USA)","01 JUL 2004","1040","2004"
"8436","10.50","+0.3","Alberto DORREGO","16 SEP 1979","ESP","2","Alcalá de Henáres (ESP)","04 JUL 2004","1040","2004"
"8436","10.50","+0.8","Diego FERREIRA","22 DEC 1976","PAR","5h4","Olympic Stadium, Athina (GRE)","21 AUG 2004","1040","2004"
"8436","10.50","+0.9","George KITCHENS","16 NOV 1983","USA","3h4","Tallahassee, FL (USA)","22 APR 2005","1040","2005"
"8436","10.50","+0.9","Michael GRANT","30 MAR 1986","USA","9h1","Nashville, TN (USA)","14 MAY 2005","1040","2005"
"8436","10.50","+1.4","Dontrell WILLIAMS","","USA","3h1","Abilene, TX (USA)","26 MAY 2005","1040","2005"
"8436","10.50","+0.1","Tony BATATIN","27 JAN 1982","VEN","3h2","Barquisimeto (VEN)","04 JUN 2005","1040","2005"
"8436","10.50","+2.0","Jarosław WASIAK","28 JAN 1984","POL","h1","Kraków (POL)","18 JUN 2005","1040","2005"
"8436","10.50","+0.5","Daniel KOSSOWSKI","10 DEC 1981","POL","3h1","Biala Podlaska (POL)","24 JUN 2005","1040","2005"
"8436","10.50","+2.0","Chi-Hung LIU","24 OCT 1981","TPE","2h2","Yunlin (TPE)","16 OCT 2005","1040","2005"
"8436","10.50","+1.3","Jacob MCREYNOLDS","08 DEC 1978","AUS","1","Canberra (AUS)","10 DEC 2005","1040","2005"
"8436","10.50","","Yordani GARCÍA","21 NOV 1988","CUB","ce","Santiago de Cuba (CUB)","04 MAR 2006","1040","2006"
"8436","10.50","","Yunior DIAZ","28 APR 1987","CUB","ce","Santiago de Cuba (CUB)","04 MAR 2006","1040","2006"
"8436","10.50","","Yosley AZCUY","05 DEC 1981","CUB","ce","Santiago de Cuba (CUB)","04 MAR 2006","1040","2006"
"8436","10.50","+1.0","Howard HARRIS","24 JAN 1985","USA","1","Akron, OH (USA)","22 APR 2006","1040","2006"
"8436","10.50","","Bill FORAN","","USA","2","Princeton, NJ (USA)","22 APR 2006","1040","2006"
"8436","10.50","+1.7","Anthony BROWN","29 NOV 1984","USA","1","Northridge, CA (USA)","12 MAY 2006","1040","2006"
"8436","10.50","+0.8","Koichi SAITO","1985","JPN","1h2","Osaka (JPN)","18 MAY 2006","1040","2006"
"8436","10.50","+1.8","Alex LANGAN","","USA","3h1","Greensboro, NC (USA)","26 MAY 2006","1040","2006"
"8436","10.50","+1.3","Karol SIENKIEWICZ","20 MAR 1986","POL","4","Biala Podlaska (POL)","27 MAY 2006","1040","2006"
"8436","10.50","+1.4","Vladimir TOPORIN","09 MAR 1983","RUS","3h1","Meteor, Zhukovskiy (RUS)","24 JUN 2006","1040","2006"
"8436","10.50","-2.0","Thomas MATTHEW","1985","BEL","9","Oordegem (BEL)","01 JUL 2006","1052","2006"
"8436","10.50","+0.8","Simon SCHELLHAAS","1982","GER","1","Trebur (GER)","12 JUL 2006","1040","2006"
"8436","10.50","","Vasile BOBOŞ","01 APR 1985","ROU","2","Bucureşti (ROU)","23 JUL 2006","1040","2006"
"8436","10.50","+0.2","Simo SIPILÄ","17 APR 1983","FIN","3h5","Ullevi Stadium, Göteborg (SWE)","07 AUG 2006","1040","2006"
"8436","10.50","","Ernest HATTINGH","16 MAY 1987","RSA","4","Tshwane (RSA)","09 MAR 2007","1040","2007"
"8436","10.50","-1.0","Duncan MCLEAN","25 FEB 1988","RSA","2h2","Durban (RSA)","17 MAR 2007","1046","2007"
"8436","10.50","+1.8","Keiji DOTE","06 JUN 1987","JPN","2h2","Konosu (JPN)","14 MAY 2007","1040","2007"
"8436","10.50","+0.1","Carlos GUZMAN","","DOM","1sf2","Bayaguana (DOM)","15 JUN 2007","1040","2007"
"8436","10.50","","Guilherme Pereira DE SOUSA PATATIVA","14 JUN 1982","BRA","4","São Paulo (BRA)","22 JUL 2007","1040","2007"
"8436","10.50","+1.3","Fabian ZIÓŁKOWSKI","27 JAN 1986","POL","2","Police (POL)","01 SEP 2007","1040","2007"
"8436","10.50","","Sivadasan Nair ARUNJITH","28 FEB 1987","IND","1sf1","Bhubaneshwar (IND)","06 OCT 2007","1040","2007"
"8436","10.50","0.0","Kyle PERCIVAL","","USA","1","Big Rapids, MI (USA)","05 APR 2008","1040","2008"
"8436","10.50","+1.6","Anthony COLE","29 APR 1986","USA","1","Cincinnati, OH (USA)","19 APR 2008","1040","2008"
"8436","10.50","+1.2","Freddie HELMS","","USA","1h4","Edwardsville, IL (USA)","02 MAY 2008","1040","2008"
"8436","10.50","+0.2","Marcus TYUS","05 AUG 1985","USA","2","Tucson, AZ (USA)","03 MAY 2008","1040","2008"
"8436","10.50","-0.1","Austin FOWLER","","USA","3","Northridge, CA (USA)","17 MAY 2008","1040","2008"
"8436","10.50","+1.5","Žilvinas ADOMAVIČIUS","02 JUL 1985","LTU","1h1","Kaunas (LTU)","30 MAY 2008","1040","2008"
"8436","10.50","+2.0","Eiki SASAMOTO","10 JUN 1986","JPN","1h3","Hiratsuka (JPN)","06 JUN 2008","1040","2008"
"8436","10.50","+0.1","Olamide ODUWOLE","15 JUL 1988","NGR","1h2","Abuja (NGR)","01 JUL 2008","1040","2008"
"8436","10.50","-0.1","Gualtiero BERTOLONE","15 JAN 1982","ITA","3h1","Cagliari (ITA)","19 JUL 2008","1040","2008"
"8436","10.50","+1.3","Philip Bjørnå BERNTSEN","13 DEC 1989","NOR","1","Luzern (SUI)","06 SEP 2008","1040","2008"
"8436","10.50","+0.7","Thabo MATEBEDI","04 OCT 1982","RSA","1f2","Pretoria (RSA)","30 JAN 2009","1040","2009"
"8436","10.50","+1.0","Sean WROE","18 MAR 1985","AUS","5f1","Hobart (AUS)","30 JAN 2009","1040","2009"
"8436","10.50","+1.9","Carlos OROSA","10 OCT 1985","DOM","3f2","Santo Domingo (DOM)","22 MAR 2009","1040","2009"
"8436","10.50","-0.1","Jamaree GORDON","","USA","1h1","Atlanta, GA (USA)","17 APR 2009","1040","2009"
"8436","10.50","-1.6","Matthew PALMER","29 NOV 1986","JAM","1f1","Los Angeles, CA (USA)","02 MAY 2009","1049","2009"
"8436","10.50","+1.9","Rashad HAWK","07 OCT 1988","USA","3f1","Lubbock, TX (USA)","07 MAY 2009","1040","2009"
"8436","10.50","+0.9","David PEDNEAULT","25 MAY 1986","CAN","3","Sherbrooke (CAN)","14 JUN 2009","1040","2009"
"8436","10.50","+1.2","Charles FIGARO","19 AUG 1988","FRA","1","Les Abymes (FRA)","20 JUN 2009","1040","2009"
"8436","10.50","+0.3","Mingxuan LI","04 MAR 1986","CHN","4","Jinan (CHN)","03 JUL 2009","1040","2009"
"8436","10.50","0.0","Suresh SATHYA","07 SEP 1987","IND","1","Chennai (IND)","22 OCT 2009","1040","2009"
"8436","10.50","+1.8","Mitchell ZILM","10 AUG 1990","AUS","4","Perth (AUS)","26 MAR 2010","1040","2010"
"8436","10.50","+1.8","Todd BATEMAN","03 OCT 1988","AUS","4","Perth (AUS)","26 MAR 2010","1040","2010"
"8436","10.50","+0.3","Rudolph ERASMUS","02 JUN 1993","RSA","1","Germiston (RSA)","10 APR 2010","1040","2010"
"8436","10.50","+0.5","Landon POWELL","1991","USA","1","Boone, NC (USA)","25 APR 2010","1040","2010"
"8436","10.50","+1.0","Khan MARR","28 OCT 1982","JAM","2f6","Spanish Town (JAM)","15 MAY 2010","1040","2010"
"8436","10.50","+1.5","Shaun KENNEDY","29 SEP 1987","USA","4","Marion, IN (USA)","28 MAY 2010","1040","2010"
"8436","10.50","+2.0","Robert HERRON","","USA","3h2","Clovis, CA (USA)","04 JUN 2010","1040","2010"
"8436","10.50","+1.0","Jiahuan ZHAO","09 MAY 1985","CHN","2h5","Jinan (CHN)","05 AUG 2010","1040","2010"
"8436","10.50","","Montrel CARTER","1992","USA","3f1","Lafayette, LA (USA)","18 MAR 2011","1040","2011"
"8436","10.50","+1.6","John THOMAS","04 FEB 1992","USA","4f1","El Paso, TX (USA)","26 MAR 2011","1040","2011"
"8436","10.50","","Dewayne GRAY","","USA","1f1","East Lansing, MI (USA)","02 APR 2011","1040","2011"
"8436","10.50","","Landon COLLINS","","USA","1","Baton Rouge, LA (USA)","08 APR 2011","1040","2011"
"8436","10.50","+1.8","Niko WILLIAMS-RICHEY","06 JUL 1991","USA","2f1","Waco, TX (USA)","23 APR 2011","1040","2011"
"8436","10.50","","Marquice DYE","","USA","1","Jefferson City, MO (USA)","23 APR 2011","1040","2011"
"8436","10.50","+2.0","Jeremy SMITH","","USA","2","Coral Springs, FL (USA)","28 APR 2011","1040","2011"
"8436","10.50","+1.1","Frank PURIZA","10 JAN 1986","NAM","1f2","Provo, UT (USA)","04 MAY 2011","1040","2011"
"8436","10.50","+1.3","Davide DEIMICHEI","16 SEP 1988","ITA","1f1","Trento (ITA)","08 MAY 2011","1040","2011"
"8436","10.50","+1.3","Chris JACKSON","","USA","1h1","Albany, NY (USA)","14 MAY 2011","1040","2011"
"8436","10.50","","Donn THOMPSON","16 JAN 1987","USA","3f2","San Diego, CA (USA)","05 JUN 2011","1040","2011"
"8436","10.50","+1.4","Charlie DACK","26 APR 1991","GBR","5f1","Donnas (ITA)","03 JUL 2011","1040","2011"
"8436","10.50","+1.1","Oleksiy KASYANOV","26 AUG 1985","UKR","1ce2","Donetsk (UKR)","02 AUG 2011","1040","2011"
"8436","10.50","+1.6","Rozzie JOHNSON","","USA","2h7","Jacksonville, FL (USA)","30 MAR 2012","1040","2012"
"8436","10.50","+1.8","Allen DOOMS","17 JUL 1989","USA","1","Rock Hill, SC (USA)","31 MAR 2012","1040","2012"
"8436","10.50","","Zachary YOUSEY","","USA","1h1","Dover, DE (USA)","14 APR 2012","1040","2012"
"8436","10.50","+0.3","José MENDIETA","16 OCT 1991","CUB","1ce","La Habana (CUB)","04 MAY 2012","1040","2012"
"8436","10.50","+1.9","Herman KIRKLAND","22 AUG 1989","USA","1","Bloomsburg, PA (USA)","05 MAY 2012","1040","2012"
"8436","10.50","+1.4","Christos KALAMARAS","28 MAR 1987","GRE","1","Athina (GRE)","15 JUN 2012","1040","2012"
"8436","10.50","","Yeiker MENDOZA","17 MAR 1995","VEN","1","Barinas (VEN)","28 SEP 2012","1040","2012"
"8436","10.50","-0.2","Justin EMERSON","11 FEB 1992","USA","2f1","Birmingham, AL (USA)","27 APR 2013","1041","2013"
"8436","10.50","+1.0","Nick TURNER","","USA","4","Bloomington, IN (USA)","03 MAY 2013","1040","2013"
"8436","10.50","+1.5","Jayveon TAYLOR","1995","USA","1f2","Las Vegas, NV (USA)","10 MAY 2013","1040","2013"
"8436","10.50","+1.8","Dominic JONES","","USA","3","San Mateo, CA (USA)","18 MAY 2013","1040","2013"
"8436","10.50","+1.5","Václav ZICH","04 SEP 1990","CZE","1f1","Praha (CZE)","30 JUN 2013","1040","2013"
"8436","10.50","+1.2","Ismail NIMAGA","04 SEP 1982","FRA","1h3","Aubagne (FRA)","06 JUL 2013","1040","2013"
"8436","10.50","+1.2","Flavien BILOUNGA NGONO","15 AUG 1991","FRA","2","Aubagne (FRA)","06 JUL 2013","1040","2013"
"8436","10.50","+1.5","Lennox WILLIAMS","23 OCT 1994","JAM","1","Andorf (AUT)","17 AUG 2013","1040","2013"
"8436","10.50","","Praveen MUTHUKUMARAN","15 DEC 1993","IND","1","Madurai (IND)","21 AUG 2013","1040","2013"
"8436","10.50","","Augustine YESUDAS","01 MAR 1995","IND","2","Madurai (IND)","21 AUG 2013","1040","2013"
"8436","10.50","+0.9","Rouven CHRIST","12 APR 1988","GER","1f1","Ludweiler (GER)","01 SEP 2013","1040","2013"
"8436","10.50","","Jimmy JONES","","USA","1f1","Lancaster, TX (USA)","10 APR 2014","1040","2014"
"8436","10.50","-0.4","Ahmad Khader ALMUWALLAD","16 FEB 1988","KSA","2","Riyadh (KSA)","16 MAY 2014","1042","2014"
"8436","10.50","+0.8","Marcus HARRIS","05 MAY 1995","USA","3","Laramie, WY (USA)","17 MAY 2014","1040","2014"
"8436","10.50","+0.6","Kevin JOHNSON","","USA","1","Delaware, OH (USA)","24 MAY 2014","1040","2014"
"8436","10.50","+0.7","Aleksandr KRETTSINGER","26 SEP 1991","RUS","1","Kemerovo (RUS)","04 JUN 2014","1040","2014"
"8436","10.50","+1.6","Carlton ANUMNU","24 JUN 1995","USA","4h1","Eugene, OR (USA)","05 JUL 2014","1040","2014"
"8436","10.50","+1.0","Marat ABLYAZOV","31 OCT 1990","RUS","2sf2","Kazan (RUS)","24 JUL 2014","1040","2014"
"8436","10.50","+1.8","Célio Miguel DA SILVA","23 MAR 1983","BRA","3","São Paulo (BRA)","13 SEP 2014","1040","2014"
"8436","10.50","+0.3","Pablo MARTINS DA SILVA","17 JAN 1992","BRA","5","Rio de Janeiro (BRA)","14 MAR 2015","1040","2015"
"8436","10.50","+2.0","Ben STEPHENSON","03 NOV 1992","GBR","1f1","Loughborough (GBR)","25 APR 2015","1040","2015"
"8436","10.50","+0.8","Kemar CLARKE","20 MAY 1988","USA","1f2","Jacksonville, FL (USA)","08 MAY 2015","1040","2015"
"8436","10.50","+0.3","Kevin JOHNSON","","USA","1","Meadville, PA (USA)","08 MAY 2015","1040","2015"
"8436","10.50","+1.9","Dwight SHAW","","USA","2","San Mateo, CA (USA)","08 MAY 2015","1040","2015"
"8436","10.50","+1.9","Jacob BRYANT","","USA","3","San Mateo, CA (USA)","08 MAY 2015","1040","2015"
"8436","10.50","+0.1","Josh DELOACH","","USA","1h2","San Diego, CA (USA)","15 MAY 2015","1040","2015"
"8436","10.50","-0.2","Antoine LLOYD","10 JUN 1996","USA","2h3","East Lansing, MI (USA)","16 MAY 2015","1041","2015"
"8436","10.50","+2.0","Quentin DANCER","","USA","1","Austin, TX (USA)","16 MAY 2015","1040","2015"
"8436","10.50","+1.7","Muhammad PATONIAH","24 JUN 1989","INA","2","Surakarta (INA)","22 MAY 2015","1040","2015"
"8436","10.50","+1.6","Kahmari MONTGOMERY","16 AUG 1997","USA","1","Charleston, IL (USA)","30 MAY 2015","1040","2015"
"8436","10.50","+1.3","Gustav KJELL","18 JAN 1996","SWE","5f1","Skara (SWE)","06 JUN 2015","1040","2015"
"8436","10.50","+0.2","David SULE","19 JUL 1984","NGR","3","Kaduna (NGR)","27 JUN 2015","1040","2015"
"8436","10.50","+0.2","Luka JANEŽIČ","14 NOV 1995","SLO","1","Nova Gorica (SLO)","25 JUL 2015","1040","2015"
"8436","10.50","+2.0","Quintaveon POOLE","11 OCT 1996","USA","1f2","Wichita, KS (USA)","16 APR 2016","1040","2016"
"8436","10.50","+1.2","Joe JUSTIN","","USA","1f2","Norman, OK (USA)","23 APR 2016","1040","2016"
"8436","10.50","+1.4","Robert WELLS","1993","USA","1f3","Starkville, MS (USA)","30 APR 2016","1040","2016"
"8436","10.50","+0.4","Raymond AYO","1994","USA","1","Fairfax, VA (USA)","08 MAY 2016","1040","2016"
"8436","10.50","+2.0","Yuming WANG","26 AUG 1994","CHN","2","Zhengzhou (CHN)","12 MAY 2016","1040","2016"
"8436","10.50","+0.5","Ji-myong JU","11 APR 1989","KOR","3","Hwaseong (KOR)","02 JUN 2016","1040","2016"
"8436","10.50","+0.6","Gerald MATTHEW","10 JUL 1997","GBR","2sf3","Bedford (GBR)","18 JUN 2016","1040","2016"
"8436","10.50","+1.3","Michael HAMANN","1994","GER","1","Berlin (GER)","09 JUL 2016","1040","2016"
"8436","10.50","+0.6","Takamasa MATSUO","1998","JPN","3sf1","Okayama (JPN)","30 JUL 2016","1040","2016"
"8436","10.50","+1.7","Jared JORDAN","","USA","1f4","Albany, NY (USA)","01 APR 2017","1040","2017"
"8436","10.50","+1.0","Zachary GUNNZ","","USA","3f5","Gainesville, FL (USA)","28 APR 2017","1040","2017"
"8436","10.50","+0.1","Melique GARCIA","18 JUN 1992","HON","1f1","New York, NY (USA)","18 MAY 2017","1040","2017"
"8436","10.50","+1.9","Jack MACHOMETA","","USA","2h6","Gulf Shores, AL (USA)","26 MAY 2017","1040","2017"
"8436","10.50","+0.8","Francis MOLANGO","05 JUL 1992","CAN","2f2","Ottawa (CAN)","10 JUN 2017","1040","2017"
"8436","10.50","+2.0","Roelf BOUWMEESTER","09 DEC 1997","NED","1h2","Leiden (NED)","17 JUN 2017","1040","2017"
"8436","10.50","+0.6","Javier TROYANO","15 SEP 1998","ESP","2","Granollers (ESP)","08 JUL 2017","1040","2017"
"8436","10.50","-0.3","Nicholas ALEXANDER","","JAM","1f6","Houston, TX (USA)","21 APR 2018","1041","2018"
"8436","10.50","+0.7","Alessandro PIUBENI","06 JUN 1994","ITA","2f1","Modena (ITA)","25 APR 2018","1040","2018"
"8436","10.50","+0.7","Troy PRIDE","","USA","2h3","Coral Gables, FL (USA)","11 MAY 2018","1040","2018"
"8436","10.50","-0.3","Shannon PATTERSON","","USA","6","Coral Gables, FL (USA)","12 MAY 2018","1041","2018"
"8436","10.50","+0.4","Jason SHANNON","29 SEP 1998","USA","4h3","Bloomington, IN (USA)","12 MAY 2018","1040","2018"
"8436","10.50","-1.6","Jordan BYRD","07 APR 2000","USA","1","Albuquerque, NM (USA)","12 MAY 2018","1049","2018"
"8436","10.50","+1.7","Declan RUSTAY","09 MAR 2000","USA","1h3","Charleston, IL (USA)","24 MAY 2018","1040","2018"
"8436","10.50","+0.5","Karl Robert SALURI","06 AUG 1993","EST","1ce1","Eugene, OR (USA)","06 JUN 2018","1040","2018"
"8436","10.50","+1.5","Woo-sam KIM","04 MAY 1994","KOR","4","Jeongseon (KOR)","26 JUN 2018","1040","2018"
"8436","10.50","-1.3","Sanjeet SINGH","26 JAN 1995","IND","2h6","Guwahati (IND)","28 JUN 2018","1047","2018"
"8436","10.50","+0.9","Jonas Tapani HALONEN","18 JAN 1995","NOR","3f1","Oslo (NOR)","05 JUL 2018","1040","2018"
"8436","10.50","+1.0","Guelord KOLA BIASU","1993","BEL","2","Bruxelles (BEL)","08 JUL 2018","1040","2018"
"8436","10.50","+0.6","Seunghwan KO","14 NOV 1997","KOR","1f1","Yecheon (KOR)","11 JUL 2018","1040","2018"
"8436","10.50","+2.0","Octavian Mihail ROMANESCU","20 FEB 1995","ESP","4sf3","Getafe (ESP)","21 JUL 2018","1040","2018"
"8436","10.50","+0.6","Elijah JOHNSON","2001","USA","1h8","Des Moines, IA (USA)","30 JUL 2018","1040","2018"
"8436","10.50","+1.6","Kotaro YAMAJI","26 JUL 2000","JPN","2sf1","Ise (JPN)","03 AUG 2018","1040","2018"
"8436","10.50","+1.4","Daichi KOKUBO","29 AUG 2000","JPN","3sf3","Ise (JPN)","03 AUG 2018","1040","2018"
"8436","10.50","+0.1","Abdelhadi BOUCHAKOUR","08 AUG 1991","ALG","3","Kessel-Lo (BEL)","04 AUG 2018","1040","2018"
"8436","10.50","+1.7","Huaishuang WANG","20 NOV 1988","CHN","1h4","Dalian (CHN)","06 AUG 2018","1040","2018"
"8436","10.50","+0.8","Zach NELSON","","USA","1f2","Tucson, AZ (USA)","06 APR 2019","1040","2019"
"8436","10.50","+1.5","Raymone CAMPBELL","","JAM","3f1","Columbia, MO (USA)","06 APR 2019","1040","2019"
"8436","10.50","+1.5","Jayson ASHFORD","1998","USA","3f3","Fayetteville, AR (USA)","12 APR 2019","1040","2019"
"8436","10.50","+1.7","Jean Tarcisius BATAMBOCK","01 OCT 1987","CMR","2","Yaoundé (CMR)","13 APR 2019","1040","2019"
"8436","10.50","+0.6","Jacquez STUART","","USA","2","Miami, FL (USA)","16 APR 2019","1040","2019"
"8436","10.50","+1.4","Akiel SMITH","","USA","1h1","New Britain, CT (USA)","04 MAY 2019","1040","2019"
"8436","10.50","+0.4","Chris FELIX","","USA","2h1","Prairie View, TX (USA)","04 MAY 2019","1040","2019"
"8436","10.50","+1.7","Sie Young PARK","03 JUN 1999","KOR","1h3","Chungju (KOR)","04 MAY 2019","1040","2019"
"8436","10.50","+1.1","Tyler DAVIS","","USA","1","Gulf Shores, AL (USA)","04 MAY 2019","1040","2019"
"8436","10.50","+0.9","Lamarion ARNOLD","","USA","1f2","Montevallo, AL (USA)","11 MAY 2019","1040","2019"
"8436","10.50","+1.5","Daniel MOYER","2002","USA","1h2","Greensboro, NC (USA)","18 MAY 2019","1040","2019"
"8436","10.50","+1.6","Davonta WOMACK","07 NOV 1996","USA","1h2","Geneva, OH (USA)","24 MAY 2019","1040","2019"
"8436","10.50","+1.7","Jonas BERNHAGEN","17 AUG 1997","GER","3f2","Jena (GER)","01 JUN 2019","1040","2019"
"8436","10.50","+1.2","Michele TRICCA","26 APR 1993","ITA","3f1","Mondovi (ITA)","23 JUN 2019","1040","2019"
"8436","10.50","+0.6","Gildas TOYB","31 MAR 1997","FRA","3f2","Montgeron (FRA)","13 JUL 2019","1040","2019"
"8436","10.50","+0.6","Tarek OKO MBEA NGALA NENE","02 FEB 1999","FRA","4f2","Montgeron (FRA)","13 JUL 2019","1040","2019"
"8436","10.50","+1.3","Solomon OBUTO","30 DEC 1992","UGA","1","Mandela National Stadium, Kampala (UGA)","26 JUL 2019","1040","2019"
"8436","10.50","+0.8","Kevin MAYER","10 FEB 1992","FRA","3ce3","Khalifa International Stadium, Doha (QAT)","02 OCT 2019","1040","2019"
"8436","10.50","+0.5","Justin CAVANAGH","20 APR 1995","AUS","3","Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)","07 MAR 2020","1040","2020"
"8436","10.50","+2.0","Koki KAWABATA","14 MAY 1999","JPN","6f1","Kusanagi Athletic Stadium, Shizuoka (JPN)","02 AUG 2020","1040","2020"
"8436","10.50","+1.3","Daisei NAMIKI","09 MAY 2002","JPN","2","Shikishima Park Prefectural Athletic Field, Maebashi (JPN)","05 SEP 2020","1040","2020"
"8436","10.50","+1.1","Romeo MANZILA-MAHAMBOU","23 SEP 1993","CGO","1","Complexe Sportif Alphonse Massamba-Debat, Brazzaville (CGO)","19 DEC 2020","1040","2020"
"8436","10.50","+1.0","Yen-Ming WU","10 DEC 1999","TPE","2","New Taipei City (TPE)","10 MAR 2021","1040","2021"
"8436","10.50","+1.8","Taysean GOODWIN","","USA","1f5","Emporia St. Francis G. Welch Stadium, Emporia, KS (USA)","19 MAR 2021","1040","2021"
"8436","10.50","+2.0","Dj HENDERSON","11 JAN 2000","USA","3f1","Aztrack Sports Deck, San Diego, CA (USA)","27 MAR 2021","1040","2021"
"8436","10.50","+1.8","Justice MENDOZA","","USA","1f2","Kearney HS Track Complex, Kearney, NE (USA)","18 APR 2021","1040","2021"
"8436","10.50","+0.8","Terroll JOLLA","2000","USA","3","Jaguar Track, Mobile, AL (USA)","15 MAY 2021","1040","2021"
"8436","10.50","+1.9","Donovan SMITH","2001","USA","2h2","USD Lillibridge Track Complex, Vermillion, SD (USA)","15 MAY 2021","1040","2021"
"8436","10.50","+1.7","Elijah GAULDIN","","USA","2","Ray McDonald, Sr., Track Complex, Mount Olive, NC (USA)","15 MAY 2021","1040","2021"
"8436","10.50","0.0","Joseph GAUTHIER","","USA","1","Chick Hislop Outdoor Track, Ogden, UT (USA)","15 MAY 2021","1040","2021"
"8436","10.50","+0.2","Carlos GWERENDENDE","08 JUL 1996","ZIM","3","National Sports Stadium, Harare (ZIM)","22 MAY 2021","1040","2021"
"8436","10.50","+0.8","Blaize HOLLAND","","USA","5h1","GVSU Track/Lacrosse Stadium, Allendale, MI (USA)","27 MAY 2021","1040","2021"
"8436","10.50","+0.8","Moffat Ngari WANJIRU","04 AUG 1998","KEN","1sf3","Nyayo National Stadium, Nairobi (KEN)","27 MAY 2021","1040","2021"
"8436","10.50","+1.6","Mattia Jason NDONGALA","13 JAN 2003","ITA","5","Stadio Zecchini, Grosseto (ITA)","11 JUN 2021","1040","2021"
"8436","10.50","+0.8","Javier GARCÍA FERNÁNDEZ","17 APR 1997","ESP","4h2","Polideportivo Juan de la Cierva, Getafe (ESP)","26 JUN 2021","1040","2021"
